datetime,DK1,SYS,SE1,SE2,SE3,SE4,FI,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸
2016-07-31,2692.0040322580644,2628.1559139784945,2970.7150537634407,2970.7150537634407,2975.3467741935483,2985.7526881720432,3173.864247311828,3001.2473118279568,2530.5336021505377,2420.4798387096776,2299.6424731182797,2994.92876344086,2994.92876344086,2645.7795698924733
2016-08-31,2834.2405913978496,2604.9139784946237,3014.380376344086,3014.380376344086,3016.668010752688,3020.8844086021504,3261.27688172043,3003.4879032258063,2330.0389784946237,2273.6720430107525,2213.0846774193546,2953.9650537634407,2953.9650537634407,2551.0967741935483
2016-09-30,2730.0583333333334,2576.3430555555556,2851.8569444444443,2851.8569444444443,2857.4944444444445,2898.6055555555554,3220.3152777777777,3025.6041666666665,2437.115277777778,2393.822222222222,2325.5180555555557,2856.0944444444444,2856.0944444444444,2468.9402777777777
2016-10-31,3216.336912751678,3192.0805369127515,3495.6577181208054,3495.6577181208054,3495.6577181208054,3530.628187919463,3625.0536912751677,3498.573154362416,3091.7557046979864,2981.6093959731543,2981.181208053691,3484.123489932886,3484.123489932886,2744.8805369127517
2016-11-30,3111.5583333333334,3332.8777777777777,3476.5291666666667,3476.5291666666667,3506.6180555555557,3524.1916666666666,3683.0652777777777,3529.820833333333,3329.6944444444443,3151.7791666666667,3218.151388888889,3573.1041666666665,3573.1041666666665,2897.391666666667
2016-12-31,2667.0524193548385,2933.6330645161293,3041.641129032258,3041.641129032258,3084.6478494623657,3200.1505376344085,3265.309139784946,2961.0120967741937,3020.0940860215055,2840.940860215054,2824.5618279569894,2985.1720430107525,2985.1720430107525,2642.0282258064517
2017-01-31,3083.1317204301076,3023.9583333333335,3112.2325268817203,3112.2325268817203,3140.6478494623657,3337.059139784946,3307.84811827957,3306.4314516129034,3031.3306451612902,2984.8709677419356,2946.8924731182797,2999.130376344086,2999.130376344086,2502.6209677419356
2017-02-28,2818.1086309523807,3003.7916666666665,3050.1622023809523,3050.1622023809523,3053.4181547619046,3135.2886904761904,3232.1755952380954,2952.3511904761904,3019.215773809524,2981.745535714286,3002.3288690476193,3027.690476190476,3027.690476190476,2576.4241071428573
2017-03-31,2903.4266487214,2938.7388963660833,2965.5464333781965,2965.5464333781965,2965.5464333781965,3045.099596231494,3094.5208613728128,3010.2678331090174,2965.56931359354,2947.1547779273214,2952.0794078061913,3023.9623149394347,3023.9623149394347,2481.6594885598925
2017-04-30,2834.7291666666665,2983.170833333333,2977.0027777777777,2977.0027777777777,2996.1208333333334,3027.2180555555556,3256.909722222222,2957.2055555555557,3014.663888888889,2961.304166666667,3010.3819444444443,3017.0402777777776,3017.0402777777776,2490.6208333333334
